Date,Curah Hujan Johor_MY,Curah Hujan Kalbar_ID,Curah Hujan Kalteng_ID,Curah Hujan Pahang_MY,Curah Hujan Riau_ID,Curah Hujan Sabah_MY,Curah Hujan Sarawak_MY,Curah Hujan Sumut_ID
2016-08-26,3.69,4.7,14.15,6.6,1.52,7.94,9.42,14.01
2016-08-29,14.66,0.95,1.6,26.83,5.49,1.36,1.22,3.31
2016-08-30,16.91,11.58,1.01,31.0,14.86,16.66,2.88,4.66
2016-09-01,6.28,17.0,8.43,32.74,13.36,7.1,39.93,15.48
2016-09-02,9.27,9.82,42.65,6.89,3.2,9.96,13.22,3.66
2016-09-06,9.75,8.32,2.74,25.43,36.77,4.72,8.0,23.04
2016-09-07,9.92,2.16,0.27,15.84,18.89,3.9,4.65,9.64
2016-09-08,2.78,4.84,1.55,13.08,0.21,40.15,34.71,6.08
2016-09-09,23.66,6.49,1.09,7.12,5.45,22.63,2.19,1.9
2016-09-13,3.47,0.0,2.91,1.63,4.75,1.07,0.15,15.55
2016-09-14,5.52,0.41,0.17,2.98,1.27,2.96,2.79,1.54
2016-09-15,2.06,5.13,0.95,6.54,7.0,4.75,1.86,1.09
2016-09-19,3.76,18.1,21.85,3.62,9.16,1.21,6.84,55.35
2016-09-20,1.71,34.58,39.8,2.88,2.49,12.08,41.28,29.02
2016-09-21,13.96,30.0,26.19,8.56,5.71,4.58,14.98,30.04
2016-09-22,6.49,7.72,2.8,4.03,38.33,14.67,16.14,0.98
2016-09-23,1.14,4.6,16.59,5.03,19.62,25.92,12.2,7.22
2016-09-26,7.45,20.55,4.38,0.59,7.22,5.61,11.09,4.33
2016-09-27,2.18,13.33,15.41,5.13,2.02,8.48,8.53,1.31
2016-09-28,2.04,15.78,15.2,11.61,0.6,6.55,5.61,7.86
2016-09-29,3.19,1.36,2.52,3.83,2.18,10.35,26.15,7.39
2016-09-30,4.35,4.75,1.59,8.76,7.62,4.6,8.68,4.04
2016-10-04,1.29,18.27,67.69,0.03,0.19,7.04,32.32,0.08
2016-10-05,4.71,15.2,17.81,6.73,2.18,3.48,2.08,4.29
2016-10-06,4.66,25.66,16.01,27.24,5.15,8.14,18.17,19.89
2016-10-07,15.27,14.19,15.23,9.15,5.92,18.66,18.43,22.82
2016-10-10,1.98,0.03,0.46,5.7,2.33,2.95,0.17,3.23
2016-10-11,0.94,1.48,8.31,0.45,5.78,4.97,0.07,15.88
2016-10-12,1.55,5.51,10.45,10.1,20.73,8.82,0.22,14.08
2016-10-13,7.22,3.92,8.11,10.24,17.61,8.88,0.68,37.03
2016-10-14,4.32,13.4,6.42,13.17,15.67,9.36,2.55,22.43
2016-10-17,0.61,12.08,0.51,2.68,1.78,19.3,19.38,45.77
2016-10-18,4.38,2.82,0.65,3.22,3.54,10.2,20.08,6.6
2016-10-19,4.69,13.92,3.73,2.63,1.63,14.15,4.4,1.53
2016-10-20,1.63,10.13,3.62,3.38,5.74,16.8,2.94,3.06
2016-10-21,2.45,29.95,11.11,6.43,12.02,2.28,1.19,5.26
2016-10-24,10.94,10.39,51.42,4.17,1.2,12.58,81.1,10.62
2016-10-25,29.3,2.16,4.06,2.27,12.28,9.47,11.69,1.33
2016-10-26,12.2,12.86,2.73,1.25,2.2,10.73,3.12,1.17
2016-10-27,7.65,14.65,9.49,6.57,2.29,10.02,10.46,18.56
2016-10-28,12.94,21.1,3.05,8.34,2.58,14.41,14.19,63.43
2016-10-31,7.75,19.42,7.45,16.66,13.59,12.9,18.6,7.12
2016-11-01,15.27,10.31,24.77,4.88,5.07,13.2,23.63,19.27
2016-11-02,6.83,12.57,28.63,6.24,29.84,6.08,8.97,23.81
2016-11-03,6.89,8.45,6.82,12.4,27.62,9.45,3.47,30.23
2016-11-04,4.63,5.04,1.85,12.29,1.68,26.99,4.55,6.35
2016-11-07,15.92,7.0,14.21,10.0,18.8,1.29,2.8,11.22
2016-11-08,6.99,15.88,16.43,3.93,10.76,0.91,7.74,11.31
2016-11-09,17.64,17.36,15.22,13.09,11.63,3.02,17.18,2.72
2016-11-10,21.68,14.56,2.89,20.35,18.75,10.58,24.45,3.01
2016-11-11,9.88,7.23,1.87,31.71,15.05,8.62,20.2,9.28
2016-11-14,18.05,16.49,2.86,5.21,4.26,3.01,5.66,22.9
2016-11-15,18.75,5.34,20.61,21.02,46.87,6.47,6.98,22.15
2016-11-16,10.12,5.55,9.58,20.75,46.61,8.0,27.9,23.24
2016-11-17,7.3,7.73,8.55,4.2,4.8,7.99,12.32,1.38
2016-11-18,15.36,5.73,7.8,9.95,7.24,1.98,6.82,0.72
2016-11-21,7.44,25.8,14.14,0.61,8.27,3.45,20.62,7.41
2016-11-22,10.91,7.77,11.69,4.08,26.11,3.18,11.81,9.25
2016-11-23,7.17,0.5,0.37,3.92,8.48,18.6,7.29,20.97
2016-11-25,5.42,8.81,5.43,15.98,4.44,2.01,14.78,5.25
2016-11-28,12.35,12.35,14.26,16.36,9.86,11.29,1.96,72.64
2016-11-29,12.33,43.98,10.16,32.85,1.78,8.6,22.16,3.14
2016-11-30,8.88,12.62,4.75,1.49,3.82,18.0,50.75,1.07
2016-12-01,23.15,30.24,4.71,19.87,5.69,2.92,24.46,12.14
2016-12-02,11.28,30.06,2.18,27.99,17.82,11.29,23.94,34.99
2016-12-05,16.07,2.82,2.76,2.42,3.82,2.86,0.91,27.19
2016-12-06,6.14,4.5,14.21,1.36,1.97,6.99,0.12,12.79
2016-12-07,9.62,4.02,11.49,2.04,3.13,7.22,6.04,16.85
2016-12-08,16.17,16.58,11.48,15.96,2.6,28.39,14.77,43.49
2016-12-09,14.82,25.13,11.22,6.68,1.84,17.5,13.14,54.41
2016-12-13,3.5,1.09,3.58,5.08,0.1,8.76,0.53,0.72
2016-12-14,4.13,0.14,9.65,2.73,0.07,5.89,0.0,3.94
2016-12-15,0.73,0.31,28.18,0.06,3.17,6.16,1.08,12.79
2016-12-16,1.34,8.6,15.56,6.31,5.75,6.6,0.29,17.37
2016-12-19,3.79,6.89,9.77,4.13,2.57,4.89,1.96,1.55
2016-12-20,4.01,3.49,7.49,18.0,0.51,5.16,22.26,6.07
2016-12-21,5.36,1.9,6.75,6.21,1.56,14.89,5.13,1.5
2016-12-22,5.79,6.86,6.92,6.69,7.63,6.09,7.59,2.1
2016-12-23,22.34,8.46,2.21,23.6,6.69,9.94,11.37,15.53
2016-12-27,20.08,26.8,17.75,11.0,8.86,11.1,20.05,2.31
2016-12-28,8.58,27.64,18.73,1.76,6.89,13.46,14.81,1.61
2016-12-29,0.35,9.43,4.93,0.24,0.01,15.19,7.0,0.21
2016-12-30,4.72,0.98,13.36,4.79,0.05,2.75,0.9,7.15
2017-01-03,16.49,3.41,1.35,21.9,47.39,12.09,37.62,40.79
2017-01-04,5.49,4.85,16.9,2.54,11.53,17.94,11.24,40.8
2017-01-05,4.68,3.95,20.58,0.44,5.05,7.65,3.55,28.57
2017-01-06,1.26,9.42,7.58,1.1,3.73,3.95,3.63,16.13
2017-01-09,0.16,0.21,28.3,0.04,0.1,2.16,0.05,0.01
2017-01-10,0.58,0.0,2.65,0.02,0.0,2.93,1.9,0.0
2017-01-11,3.28,0.05,0.9,5.47,1.32,3.37,4.3,0.04
2017-01-12,1.95,17.47,2.14,0.68,0.19,7.53,2.64,5.23
2017-01-13,1.11,5.01,1.49,0.15,0.1,12.22,0.75,14.78
2017-01-16,5.67,6.37,2.05,5.8,3.99,3.98,6.24,1.16
2017-01-17,5.27,1.54,5.89,18.15,0.2,18.42,2.4,0.71
2017-01-18,5.49,1.55,11.47,8.73,25.67,7.7,15.0,1.17
2017-01-19,5.47,23.38,13.71,4.18,18.27,6.07,22.34,1.16
2017-01-20,5.68,12.72,6.4,33.05,9.37,5.85,36.79,2.71
2017-01-23,38.06,4.13,10.2,16.84,18.82,1.9,5.53,89.5
2017-01-24,91.65,36.66,13.44,104.75,1.99,6.91,19.62,5.0
2017-01-25,14.67,30.01,45.46,20.49,30.41,9.65,57.13,3.24
2017-01-26,4.11,15.09,4.11,13.89,23.28,2.12,12.05,3.16
2017-01-27,2.36,14.43,11.24,9.15,11.57,0.64,12.37,4.53
2017-01-31,1.13,7.75,2.89,10.83,36.19,5.44,8.19,2.48
2017-02-02,2.37,26.88,7.89,2.18,6.16,11.17,14.83,0.01
2017-02-03,2.88,1.34,4.7,1.19,0.02,2.44,22.32,0.15
2017-02-06,1.59,1.3,0.36,5.17,1.61,12.57,23.41,12.55
2017-02-07,21.29,0.02,0.08,8.72,3.6,0.79,1.77,17.67
2017-02-08,8.13,0.0,0.0,1.32,4.47,0.08,0.0,3.48
2017-02-10,0.22,0.0,0.0,2.61,11.67,0.0,0.2,9.62
2017-02-13,6.36,17.3,6.2,7.31,5.17,1.25,16.7,1.55
2017-02-14,17.49,3.27,1.63,7.68,8.0,0.08,13.23,7.72
2017-02-15,7.66,23.5,17.02,3.11,2.85,0.49,29.86,2.62
2017-02-16,1.01,10.83,12.46,0.14,0.14,3.12,36.84,0.07
2017-02-17,1.14,12.88,4.04,1.27,18.01,1.55,27.39,0.25
2017-02-21,1.41,3.61,15.18,4.06,41.28,0.94,31.2,21.25
2017-02-22,1.05,15.21,35.22,0.33,44.07,1.82,32.82,64.65
2017-02-23,19.15,11.29,2.67,19.77,4.62,6.74,7.57,38.7
2017-02-24,19.58,22.93,6.91,15.02,2.27,25.72,33.8,1.92
2017-02-27,2.82,13.33,10.32,11.19,22.87,1.67,13.56,4.0
2017-02-28,23.52,52.18,11.53,8.55,28.46,3.15,27.75,20.43
2017-03-01,35.15,13.61,90.29,13.78,23.86,2.34,82.7,31.29
2017-03-02,11.02,8.67,3.96,10.47,12.35,2.52,44.39,10.36
2017-03-03,16.35,1.27,5.71,4.63,19.84,1.11,2.03,12.57
2017-03-06,0.49,1.0,5.46,8.54,10.47,3.3,0.17,13.66
2017-03-07,1.02,0.65,16.22,1.34,2.87,3.85,3.43,2.32
2017-03-08,0.67,0.24,2.46,0.92,0.02,11.19,10.28,0.12
2017-03-09,0.02,2.46,1.61,1.87,17.36,13.2,0.25,4.34
2017-03-10,0.02,1.16,1.12,0.23,7.99,10.01,2.1,30.16
2017-03-13,2.71,4.89,2.67,0.38,11.34,2.88,4.18,0.6
2017-03-14,4.25,5.18,1.99,3.14,14.32,0.34,11.95,1.92
2017-03-15,0.56,1.49,3.86,3.71,3.21,1.68,2.08,0.18
2017-03-16,3.07,2.16,0.73,1.64,4.91,0.93,4.0,5.46
2017-03-17,5.53,21.77,10.56,5.33,5.17,2.61,9.35,1.82
2017-03-20,5.19,17.51,8.66,7.31,0.52,1.45,25.37,0.37
2017-03-21,5.91,7.22,3.54,6.88,0.09,2.75,51.72,0.02
2017-03-22,5.57,1.32,0.01,1.8,0.19,5.73,3.7,0.03
2017-03-23,1.18,2.6,24.24,1.47,26.93,1.85,0.83,17.7
2017-03-24,5.62,1.63,5.71,16.05,15.5,6.08,33.76,14.15
2017-03-27,2.04,14.9,0.46,16.44,11.72,8.0,3.26,26.56
2017-03-28,14.95,39.82,10.31,29.29,6.04,13.84,7.2,6.11
2017-03-29,3.53,9.31,7.97,8.21,6.7,15.79,8.56,1.54
2017-03-30,12.14,5.21,15.75,7.67,53.29,2.26,11.45,0.9
2017-03-31,6.03,0.93,26.44,6.75,13.91,7.37,3.31,0.3
2017-04-03,5.7,2.7,4.06,6.87,3.65,33.21,4.38,3.91
2017-04-04,1.55,4.11,2.63,2.94,8.55,19.25,10.51,18.25
2017-04-05,1.34,4.8,7.71,1.87,6.64,25.75,8.92,18.65
2017-04-06,8.48,3.0,5.19,4.56,19.99,25.96,3.58,21.13
2017-04-07,6.81,0.86,7.99,0.67,28.21,9.73,5.26,25.06
